time,player,actor_id,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,boost,throttle,steer
7.695648,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
7.695648,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
7.7623143,BALL,0,0.0,0.0,92.75,,,,,,
7.7623143,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
7.7623143,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,,
7.7623143,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,147.0
7.7623143,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
7.7623143,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
7.7623143,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
7.8289804,BALL,0,0.0,0.0,92.75,,,,,,
7.8289804,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
7.8289804,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,,
7.8289804,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,128.0
7.8289804,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
7.8289804,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
7.8289804,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.062453,BALL,0,0.0,0.0,92.75,,,,,,
8.062453,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.062453,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,,
8.062453,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,150.0
8.062453,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
8.062453,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.062453,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.162452,BALL,0,0.0,0.0,92.75,,,,,,
8.162452,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.162452,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,,
8.162452,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,209.0
8.162452,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
8.162452,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.162452,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.229117,BALL,0,0.0,0.0,92.75,,,,,,
8.229117,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.229117,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,,
8.229117,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,227.0
8.229117,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
8.229117,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.229117,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.329116,BALL,0,0.0,0.0,92.75,,,,,,
8.329116,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.329116,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,,
8.329116,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,176.0
8.329116,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
8.329116,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
